origin_x,origin_y
5375,0.69588761
5376,0.69473352
5377,0.69423342
5378,0.69493267
5379,0.69660061
5380,0.6989989
5381,0.70220093
5382,0.70583305
5383,0.70985035
5384,0.71387115
5385,0.71775698
5386,0.72138226
5387,0.72452018
5388,0.72687801
5389,0.72830933
5390,0.72876326
5391,0.72836186
5392,0.72701808
5393,0.72465997
5394,0.72178833
5395,0.71832567
5396,0.71448752
5397,0.71049262
5398,0.70650184
5399,0.70272366
5400,0.69965353
5401,0.69719304
5402,0.69566623
5403,0.69509404
5404,0.69541724
5405,0.69668976
5406,0.6988827
5407,0.70185178
5408,0.70531971
5409,0.70928034
5410,0.7133528
5411,0.71724742
5412,0.72100291
5413,0.72420556
5414,0.72668787
5415,0.72838594
5416,0.72918929
5417,0.72879258
5418,0.72756937
5419,0.72545923
5420,0.72269021
5421,0.71914416
5422,0.71527241
5423,0.71114788
5424,0.70725753
5425,0.70378685
5426,0.70060312
5427,0.6979493
5428,0.69624734
5429,0.69557057
5430,0.69573985
5431,0.69716685
5432,0.69913708
5433,0.70200507
5434,0.70537756
5435,0.70939887
5436,0.71345302
5437,0.71736619
5438,0.7211936
5439,0.72429084
5440,0.72671206
5441,0.72842042
5442,0.72902746
5443,0.72874476
5444,0.72753586
5445,0.72532444
5446,0.72246747
5447,0.71888946
5448,0.71491916
5449,0.71093744
5450,0.70695131
5451,0.7033078
5452,0.70015373
5453,0.69788488
5454,0.69642798
5455,0.69582387
5456,0.69613337
5457,0.6974184
5458,0.69965379
5459,0.70271052
5460,0.70653659
5461,0.71034876
5462,0.71469167
5463,0.71869385
5464,0.72220609
5465,0.72508861
5466,0.72737063
5467,0.72875054
5468,0.72917331
5469,0.72847268
5470,0.72686251
5471,0.72443146
5472,0.72126969
5473,0.71763127
5474,0.71355758
5475,0.7095722
5476,0.70573779
5477,0.70216393
5478,0.69940811
5479,0.69739522
5480,0.69622043
5481,0.69616053
5482,0.69717412
5483,0.69896016
5484,0.70171257
5485,0.70507347
5486,0.70892698
5487,0.71277215
5488,0.71690381
5489,0.72066253
5490,0.72394275
5491,0.72648354
5492,0.72821577
5493,0.7290581
5494,0.72868553
5495,0.72742422
5496,0.72539359
5497,0.72244536
5498,0.71891791
5499,0.71498907
5500,0.7109714
5501,0.70691599
5502,0.70338946
5503,0.70040218
5504,0.69829969
5505,0.69690004
5506,0.69636921
5507,0.69701383
5508,0.69858685
5509,0.70095477
5510,0.70413651
5511,0.70799384
5512,0.71183735
5513,0.71584666
5514,0.71971937
5515,0.72313919
5516,0.72586299
5517,0.72762384
5518,0.72851881
5519,0.72837166
5520,0.72728925
5521,0.72505713
5522,0.7222913
5523,0.7186692
5524,0.71482496
5525,0.71084139
5526,0.70702843
5527,0.70338121
5528,0.70030443
5529,0.69826193
5530,0.6968279
5531,0.69648656
5532,0.69711194
5533,0.69882157
5534,0.70133583
5535,0.70449284
5536,0.70805259
5537,0.7117905
5538,0.7160472
5539,0.71965173
5540,0.7228479
5541,0.72549605
5542,0.72717425
5543,0.72804396
5544,0.72793113
5545,0.7266181
5546,0.72441189
5547,0.72159435
5548,0.71796841
5549,0.71408491
5550,0.71009252
5551,0.70618709
5552,0.70259938
5553,0.69959374
5554,0.69752067
5555,0.69629435
5556,0.6961232
5557,0.69722834
5558,0.69904416
5559,0.70162863
5560,0.70490627
5561,0.70873575
5562,0.71283965
5563,0.71672483
5564,0.72037941
5565,0.72360092
5566,0.72610484
5567,0.72778397
5568,0.72813077
5569,0.72745147
5570,0.72594645
5571,0.72337662
5572,0.72016134
5573,0.71630728
5574,0.71223073
5575,0.70810154
5576,0.70442835
5577,0.70102887
5578,0.69836507
5579,0.69675528
5580,0.69597013
5581,0.69626871
5582,0.6976381
5583,0.69976175
5584,0.7027599
5585,0.70643979
5586,0.71033664
5587,0.71433004
5588,0.71812711
5589,0.7215546
5590,0.72408962
5591,0.72596334
5592,0.72680462
5593,0.72666964
5594,0.72553507
5595,0.72350839
5596,0.72043839
5597,0.7168339
5598,0.71308227
5599,0.70907816
5600,0.70515016
5601,0.70172729
5602,0.69873973
5603,0.69662202
5604,0.69553435
5605,0.69566853
5606,0.69669171
5607,0.69876937
5608,0.70160414
5609,0.70518813
5610,0.70918893
5611,0.71348632
5612,0.71743184
5613,0.72089466
5614,0.72375072
5615,0.72581128
5616,0.72671175
5617,0.72657495
5618,0.72561057
5619,0.72361292
5620,0.72085053
5621,0.71740767
5622,0.71342004
5623,0.70941441
5624,0.70562457
5625,0.70199289
5626,0.69897858
5627,0.69684229
5628,0.69559572
5629,0.69544329
5630,0.69650024
5631,0.69830375
5632,0.70126875
5633,0.70462915
5634,0.70854177
5635,0.71268462
5636,0.71651289
5637,0.72004225
5638,0.72301069
5639,0.72512262
5640,0.7261137
5641,0.72618962
5642,0.72520838
5643,0.72333915
5644,0.72049991
5645,0.71674477
5646,0.7128181
5647,0.70887799
5648,0.70496392
5649,0.70139055
5650,0.69850324
5651,0.6965026
5652,0.69531794
5653,0.69530664
5654,0.69629776
5655,0.6983672
5656,0.70134121
5657,0.70482873
5658,0.70887363
5659,0.71297798
5660,0.71687584
5661,0.72033954
5662,0.72305763
5663,0.72507698
5664,0.72597774
5665,0.72583192
5666,0.72458314
5667,0.72244099
5668,0.71947995
5669,0.71583117
5670,0.71211959
5671,0.70807393
5672,0.70409013
5673,0.70081129
5674,0.69816866
5675,0.6963124
5676,0.69548685
5677,0.69615176
5678,0.69758534
5679,0.70018893
5680,0.70335434
5681,0.70686505
5682,0.71098511
5683,0.71507423
5684,0.71877349
5685,0.72195446
5686,0.7244705
5687,0.72604579
5688,0.72633066
5689,0.72570006
5690,0.72394137
5691,0.72125161
5692,0.71799006
5693,0.71404365
5694,0.71016091
5695,0.70628064
5696,0.70254395
5697,0.69956637
5698,0.69739225
5699,0.69623792
5700,0.69623403
5701,0.69729656
5702,0.6993931
5703,0.70223564
5704,0.70567931
5705,0.70956296
5706,0.71385149
5707,0.7175093
5708,0.7209122
5709,0.72363488
5710,0.72551112
5711,0.72611006
5712,0.72569015
5713,0.7241232
5714,0.72172925
5715,0.71854864
5716,0.71479426
5717,0.71081576
5718,0.70698455
5719,0.70337368
5720,0.70025386
5721,0.69789568
5722,0.69675783
5723,0.69645766
5724,0.69727791
5725,0.6989902
5726,0.70168595
5727,0.70508831
5728,0.70891934
5729,0.71319384
5730,0.71715346
5731,0.7207458
5732,0.72361439
5733,0.72567788
5734,0.72646415
5735,0.72627813
5736,0.72509064
5737,0.72280651
5738,0.71960107
5739,0.71595041
5740,0.71195747
5741,0.70803016
5742,0.70429111
5743,0.70116643
5744,0.6989338
5745,0.69727134
5746,0.69688279
5747,0.69743292
5748,0.69923155
5749,0.70178282
5750,0.70501724
5751,0.70888367
5752,0.71306883
5753,0.71683845
5754,0.72011352
5755,0.72286493
5756,0.7248257
5757,0.72574736
5758,0.72558932
5759,0.72423672
5760,0.72204493
5761,0.71889473
5762,0.71513784
5763,0.71110323
5764,0.70725045
5765,0.70367299
5766,0.70052549
5767,0.6981588
5768,0.69678163
5769,0.69644892
5770,0.69724113
5771,0.69908353
5772,0.70169993
5773,0.70532094
5774,0.70907782
5775,0.71322141
5776,0.71719668
5777,0.72059852
5778,0.7233128
5779,0.72492619
5780,0.72559008
5781,0.72526915
5782,0.72345901
5783,0.72117308
5784,0.71768835
5785,0.71379864
5786,0.70967275
5787,0.70577821
5788,0.7021758
5789,0.69934252
5790,0.69720748
5791,0.69627928
5792,0.69629701
5793,0.697525
5794,0.69975151
5795,0.70281723
5796,0.7066094
5797,0.71051584
5798,0.71458325
5799,0.718506
5800,0.72164347
5801,0.72394224
5802,0.72518615
5803,0.72517777
5804,0.72412894
5805,0.72190811
5806,0.71882079
5807,0.71522982
5808,0.71118527
5809,0.70732762
5810,0.70330363
5811,0.70016531
5812,0.69780046
5813,0.6963245
5814,0.6960054
5815,0.69665757
5816,0.69841414
5817,0.70103992
5818,0.70449029
5819,0.70864925
5820,0.71282274
5821,0.71657646
5822,0.71984356
5823,0.72265552
5824,0.72437337
5825,0.72502209
5826,0.72434735
5827,0.72263362
5828,0.71986389
5829,0.71650036
5830,0.71247161
5831,0.70836856
5832,0.70461297
5833,0.70107878
5834,0.69834427
5835,0.69639297
5836,0.69561708
5837,0.69599249
5838,0.69745642
5839,0.69974634
5840,0.70317838
5841,0.70719303
5842,0.71124706
5843,0.71532273
5844,0.71882691
5845,0.72176444
5846,0.72394264
5847,0.7246616
5848,0.72450503
5849,0.72323767
5850,0.7207918
5851,0.7174767
5852,0.71372317
5853,0.70966195
5854,0.70578271
5855,0.70208966
5856,0.69920141
5857,0.69718195
5858,0.69630108
5859,0.69661387
5860,0.69794436
5861,0.70050748
5862,0.70408089
5863,0.70768648
5864,0.71171027
5865,0.71545487
5866,0.7189221
5867,0.72194433
5868,0.72393879
5869,0.72518567
5870,0.72503628
5871,0.72372193
5872,0.72117037
5873,0.71796666
5874,0.71416496
5875,0.71013036
5876,0.70577165
5877,0.7022539
5878,0.69954991
5879,0.69749403
5880,0.69669554
5881,0.69676473
5882,0.69826567
5883,0.70082988
5884,0.70414937
5885,0.7079955
5886,0.71214007
5887,0.7161778
5888,0.71972491
5889,0.72254257
5890,0.72429849
5891,0.7250115
5892,0.72476177
5893,0.7230786
5894,0.7206465
5895,0.71726941
5896,0.71366665
5897,0.70945844
5898,0.7058177
5899,0.70245364
5900,0.69986503
5901,0.6982028
5902,0.69757403
5903,0.69797482
5904,0.69960663
5905,0.70229057
5906,0.70574707
5907,0.70967306
5908,0.71352669
5909,0.71754778
5910,0.72085831
5911,0.723334
5912,0.72493951
5913,0.72553719
5914,0.72475191
5915,0.7231017
5916,0.7200296
5917,0.71661632
5918,0.71274124
5919,0.70867842
5920,0.70484896
5921,0.70182796
5922,0.69955136
5923,0.69824244
5924,0.69790262
5925,0.69872654
5926,0.70085088
5927,0.70377914
5928,0.70741883
5929,0.71150865
5930,0.71561803
5931,0.71938191
5932,0.72252517
5933,0.72470655
5934,0.72553331
5935,0.72529792
5936,0.72391348
5937,0.72151086
5938,0.71853569
5939,0.71475838
5940,0.71070442
5941,0.70676051
5942,0.70324996
5943,0.7002582
5944,0.69861822
5945,0.69761739
5946,0.69806451
5947,0.69954166
5948,0.70207636
5949,0.70560772
5950,0.70949497
5951,0.71348078
5952,0.71745175
5953,0.72089601
5954,0.72325672
5955,0.7247483
5956,0.72484299
5957,0.72411599
5958,0.72208869
5959,0.71917237
5960,0.71558575
5961,0.71139277
5962,0.70738591
5963,0.70367963
5964,0.70041956
5965,0.698515
5966,0.69744552
5967,0.6975653
5968,0.69889469
5969,0.7011109
5970,0.70440546
5971,0.70796024
5972,0.7122048
5973,0.7161342
5974,0.71995478
5975,0.72272832
5976,0.72456597
5977,0.72514542
5978,0.72461058
5979,0.72287046
5980,0.72023509
5981,0.71658813
5982,0.71270513
5983,0.70856003
5984,0.70459414
5985,0.70126596
5986,0.69890058
5987,0.69752456
5988,0.69737458
5989,0.69861389
5990,0.70080388
5991,0.70399735
5992,0.70790863
5993,0.71205871
5994,0.71618012
5995,0.71972804
5996,0.72240693
5997,0.72425517
5998,0.72490563
5999,0.7244868
6000,0.72266177
